conv_layers,filters,kernel_size,dropout_rate,dense_units,pool_size,accuracy,precision,recall,f1
2,32,3,0.1,128,2,0.7083333333333334,0.7038834951456311,0.6904761904761905,0.6971153846153846
2,32,3,0.1,128,3,0.7129629629629629,0.7415730337078652,0.6285714285714286,0.6804123711340206
2,32,3,0.2,32,2,0.6481481481481481,0.6330275229357798,0.6571428571428571,0.6448598130841121
2,32,3,0.2,32,3,0.6990740740740741,0.7127659574468085,0.638095238095238,0.6733668341708543
2,32,3,0.2,64,2,0.7337962962962963,0.7411167512690355,0.6952380952380952,0.7174447174447175
2,32,3,0.2,64,3,0.7083333333333334,0.6858407079646017,0.7380952380952381,0.7110091743119266
2,32,3,0.2,128,2,0.6967592592592593,0.6984924623115578,0.6619047619047619,0.6797066014669927
2,32,3,0.2,128,3,0.7268518518518519,0.7473118279569892,0.6619047619047619,0.702020202020202
2,32,3,0.3,32,2,0.6828703703703703,0.6553191489361702,0.7333333333333333,0.6921348314606741
2,32,3,0.3,32,3,0.7013888888888888,0.7076923076923077,0.6571428571428571,0.6814814814814815
2,32,3,0.3,64,2,0.7060185185185185,0.7150259067357513,0.6571428571428571,0.684863523573201
2,32,3,0.3,64,3,0.6689814814814815,0.6475770925110133,0.7,0.6727688787185355
2,32,3,0.3,128,2,0.6759259259259259,0.6535087719298246,0.7095238095238096,0.680365296803653
2,32,3,0.3,128,3,0.6481481481481481,0.6464646464646465,0.6095238095238096,0.6274509803921569
2,32,5,0.1,32,2,0.6921296296296297,0.7037037037037037,0.6333333333333333,0.6666666666666666
2,32,5,0.1,32,3,0.7152777777777778,0.7636363636363637,0.6,0.672
2,32,5,0.1,64,2,0.6875,0.6984126984126984,0.6285714285714286,0.6616541353383458
2,32,5,0.1,64,3,0.6759259259259259,0.7302631578947368,0.5285714285714286,0.6132596685082873
2,32,5,0.1,128,2,0.6851851851851852,0.6728971962616822,0.6857142857142857,0.6792452830188679
2,32,5,0.1,128,3,0.6921296296296297,0.7333333333333333,0.5761904761904761,0.6453333333333333
2,32,5,0.2,32,2,0.6990740740740741,0.7150537634408602,0.6333333333333333,0.6717171717171717
2,32,5,0.2,32,3,0.6759259259259259,0.6842105263157895,0.6190476190476191,0.65
2,32,5,0.2,64,2,0.6550925925925926,0.6894409937888198,0.5285714285714286,0.5983827493261455
2,32,5,0.2,64,3,0.6412037037037037,0.6519337016574586,0.5619047619047619,0.6035805626598465
2,32,5,0.2,128,2,0.7037037037037037,0.7228260869565217,0.6333333333333333,0.6751269035532995
2,32,5,0.2,128,3,0.7384259259259259,0.7298578199052133,0.7333333333333333,0.7315914489311164
2,32,5,0.3,32,2,0.7060185185185185,0.7024390243902439,0.6857142857142857,0.6939759036144578
2,32,5,0.3,32,3,0.7222222222222222,0.75,0.6428571428571429,0.6923076923076923
2,32,5,0.3,64,2,0.7175925925925926,0.7095238095238096,0.7095238095238096,0.7095238095238096
2,32,5,0.3,64,3,0.7662037037037037,0.815028901734104,0.6714285714285714,0.7362924281984334
2,32,5,0.3,128,2,0.6967592592592593,0.7206703910614525,0.6142857142857143,0.6632390745501285
2,32,5,0.3,128,3,0.6967592592592593,0.6908212560386473,0.680952380952381,0.6858513189448441
2,32,7,0.1,32,2,0.6898148148148148,0.7111111111111111,0.6095238095238096,0.6564102564102564
2,32,7,0.1,32,3,0.7685185185185185,0.7522935779816514,0.780952380952381,0.7663551401869159
2,32,7,0.1,64,2,0.7314814814814815,0.8133333333333334,0.580952380952381,0.6777777777777778
2,32,7,0.1,64,3,0.7083333333333334,0.7692307692307693,0.5714285714285714,0.6557377049180327
2,32,7,0.1,128,2,0.7662037037037037,0.807909604519774,0.680952380952381,0.7390180878552972
2,32,7,0.1,128,3,0.6643518518518519,0.6348547717842323,0.7285714285714285,0.6784922394678492
2,32,7,0.2,32,2,0.6365740740740741,0.6108786610878661,0.6952380952380952,0.6503340757238307
2,32,7,0.2,32,3,0.7314814814814815,0.6865079365079365,0.8238095238095238,0.7489177489177489
2,32,7,0.2,64,2,0.7268518518518519,0.7613636363636364,0.638095238095238,0.694300518134715
2,32,7,0.2,64,3,0.7013888888888888,0.7484662576687117,0.580952380952381,0.6541554959785523
2,32,7,0.2,128,2,0.7430555555555556,0.8113207547169812,0.6142857142857143,0.6991869918699187
2,32,7,0.2,128,3,0.7361111111111112,0.7891566265060241,0.6238095238095238,0.6968085106382979
2,32,7,0.3,32,2,0.7222222222222222,0.7616279069767442,0.6238095238095238,0.6858638743455497
2,32,7,0.3,32,3,0.8009259259259259,0.8163265306122449,0.7619047619047619,0.7881773399014779
2,32,7,0.3,64,2,0.7199074074074074,0.6977777777777778,0.7476190476190476,0.7218390804597701
2,32,7,0.3,64,3,0.6828703703703703,0.7159763313609467,0.5761904761904761,0.6385224274406333
2,32,7,0.3,128,2,0.7291666666666666,0.8,0.5904761904761905,0.6794520547945205
2,32,7,0.3,128,3,0.6365740740740741,0.6255924170616114,0.6285714285714286,0.6270783847980997
2,64,3,0.1,32,2,0.6782407407407407,0.6839378238341969,0.6285714285714286,0.6550868486352357
2,64,3,0.1,32,3,0.7013888888888888,0.7515527950310559,0.5761904761904761,0.6522911051212938
2,64,3,0.1,64,2,0.7106481481481481,0.7073170731707317,0.6904761904761905,0.6987951807228916
2,64,3,0.1,64,3,0.6875,0.7388535031847133,0.5523809523809524,0.6321525885558583
2,64,3,0.1,128,2,0.6620370370370371,0.7025316455696202,0.5285714285714286,0.6032608695652174
2,64,3,0.1,128,3,0.6828703703703703,0.7354838709677419,0.5428571428571428,0.6246575342465753
2,64,3,0.2,32,2,0.6759259259259259,0.6715686274509803,0.6523809523809524,0.6618357487922706
2,64,3,0.2,32,3,0.7129629629629629,0.7529411764705882,0.6095238095238096,0.6736842105263158
2,64,3,0.2,64,2,0.6319444444444444,0.5779816513761468,0.9,0.7039106145251397
2,64,3,0.2,64,3,0.6435185185185185,0.6728395061728395,0.5190476190476191,0.5860215053763441
2,64,3,0.2,128,2,0.7407407407407407,0.7094017094017094,0.7904761904761904,0.7477477477477478
2,64,3,0.2,128,3,0.7615740740740741,0.8451612903225807,0.6238095238095238,0.7178082191780822
2,64,3,0.3,32,2,0.7013888888888888,0.6494464944649446,0.8380952380952381,0.7318087318087318
2,64,3,0.3,32,3,0.7337962962962963,0.7844311377245509,0.6238095238095238,0.6949602122015915
2,64,3,0.3,64,2,0.7268518518518519,0.7035398230088495,0.7571428571428571,0.7293577981651376
2,64,3,0.3,64,3,0.6550925925925926,0.6848484848484848,0.5380952380952381,0.6026666666666667
2,64,3,0.3,128,2,0.7083333333333334,0.7592592592592593,0.5857142857142857,0.6612903225806451
2,64,3,0.3,128,3,0.6875,0.7027027027027027,0.6190476190476191,0.6582278481012658
2,64,5,0.1,32,2,0.7361111111111112,0.7758620689655172,0.6428571428571429,0.703125
2,64,5,0.1,32,3,0.7523148148148148,0.7942857142857143,0.6619047619047619,0.7220779220779221
2,64,5,0.1,64,2,0.6712962962962963,0.6588785046728972,0.6714285714285714,0.6650943396226415
2,64,5,0.1,64,3,0.7430555555555556,0.746268656716418,0.7142857142857143,0.7299270072992701
