N_MFCC,duration,step,augment,batch_size,accuracy,precision,recall,f1
20,2.0,1.5,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",8,0.722007722007722,0.654320987654321,0.8688524590163934,0.7464788732394366
20,2.0,1.5,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",16,0.7722007722007722,0.7441860465116279,0.7868852459016393,0.7649402390438247
20,2.0,1.5,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",32,0.7374517374517374,0.684931506849315,0.819672131147541,0.746268656716418
20,2.0,1.5,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",8,0.7104247104247104,0.6942148760330579,0.6885245901639344,0.691358024691358
20,2.0,1.5,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",16,0.6872586872586872,0.6666666666666666,0.6721311475409836,0.6693877551020408
20,2.0,1.5,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",32,0.7335907335907336,0.6906474820143885,0.7868852459016393,0.735632183908046
20,2.0,1.5,None,8,0.7567567567567568,0.6685714285714286,0.9590163934426229,0.7878787878787878
20,2.0,1.5,None,16,0.722007722007722,0.6404494382022472,0.9344262295081968,0.76
20,2.0,1.5,None,32,0.8108108108108109,0.732484076433121,0.9426229508196722,0.8243727598566308
20,2.0,2.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",8,0.7412935323383084,0.680672268907563,0.8526315789473684,0.7570093457943925
20,2.0,2.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",16,0.746268656716418,0.6864406779661016,0.8526315789473684,0.7605633802816901
20,2.0,2.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",32,0.527363184079602,0.0,0.0,0.0
20,2.0,2.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",8,0.7064676616915423,0.6475409836065574,0.8315789473684211,0.728110599078341
20,2.0,2.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",16,0.48756218905472637,0.4793814432989691,0.9789473684210527,0.643598615916955
20,2.0,2.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",32,0.7014925373134329,0.6521739130434783,0.7894736842105263,0.7142857142857143
20,2.0,2.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",8,0.6915422885572139,0.6386554621848739,0.8,0.7102803738317757
20,2.0,2.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",16,0.47761194029850745,0.4744897959183674,0.9789473684210527,0.6391752577319587
20,2.0,2.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",32,0.4527363184079602,0.4489795918367347,0.6947368421052632,0.5454545454545454
20,2.0,2.0,None,8,0.8258706467661692,0.7678571428571429,0.9052631578947369,0.8309178743961353
20,2.0,2.0,None,16,0.7860696517412935,0.7363636363636363,0.8526315789473684,0.7902439024390244
20,2.0,2.0,None,32,0.5323383084577115,0.5384615384615384,0.07368421052631578,0.12962962962962962
