duration=2.0, step=1.5,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=32 --> acc=0.483, prec=0.483, rec=0.986, f1=0.648
duration=2.0, step=1.5,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=8 --> acc=0.716, prec=0.748, rec=0.622, f1=0.679
duration=2.0, step=1.5,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=16 --> acc=0.743, prec=0.745, rec=0.713, f1=0.729
duration=2.0, step=1.5,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=32 --> acc=0.483, prec=0.483, rec=1.000, f1=0.651
duration=2.0, step=1.5,  MELS=128, FFT=2048, HOP=512, aug=None, batch=8 --> acc=0.777, prec=0.742, rec=0.825, f1=0.781
duration=2.0, step=1.5,  MELS=128, FFT=2048, HOP=512, aug=None, batch=16 --> acc=0.483, prec=0.483, rec=1.000, f1=0.651
duration=2.0, step=1.5,  MELS=128, FFT=2048, HOP=512, aug=None, batch=32 --> acc=0.483, prec=0.483, rec=1.000, f1=0.651
duration=2.0, step=1.5,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=8 --> acc=0.669, prec=0.645, rec=0.699, f1=0.671
duration=2.0, step=1.5,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=16 --> acc=0.483, prec=0.483, rec=1.000, f1=0.651
duration=2.0, step=1.5,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=32 --> acc=0.625, prec=0.570, rec=0.909, f1=0.701
duration=2.0, step=1.5,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=8 --> acc=0.676, prec=0.664, rec=0.664, f1=0.664
duration=2.0, step=1.5,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=16 --> acc=0.483, prec=0.483, rec=1.000, f1=0.651
duration=2.0, step=1.5,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=32 --> acc=0.483, prec=0.483, rec=1.000, f1=0.651
duration=2.0, step=1.5,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=8 --> acc=0.726, prec=0.738, rec=0.671, f1=0.703
duration=2.0, step=1.5,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=16 --> acc=0.493, prec=0.488, rec=0.979, f1=0.651
duration=2.0, step=1.5,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=32 --> acc=0.601, prec=0.553, rec=0.916, f1=0.689
duration=2.0, step=1.5,  MELS=256, FFT=2048, HOP=512, aug=None, batch=8 --> acc=0.716, prec=0.653, rec=0.881, f1=0.750
duration=2.0, step=1.5,  MELS=256, FFT=2048, HOP=512, aug=None, batch=16 --> acc=0.615, prec=0.566, rec=0.874, f1=0.687
duration=2.0, step=1.5,  MELS=256, FFT=2048, HOP=512, aug=None, batch=32 --> acc=0.689, prec=0.662, rec=0.727, f1=0.693
duration=2.0, step=2.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=8 --> acc=0.678, prec=0.624, rec=0.867, f1=0.726
duration=2.0, step=2.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=16 --> acc=0.552, prec=0.564, rec=0.389, f1=0.461
duration=2.0, step=2.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=32 --> acc=0.561, prec=0.532, rec=0.885, f1=0.664
duration=2.0, step=2.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=8 --> acc=0.748, prec=0.789, rec=0.664, f1=0.721
